Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Recommendation_Frequency_Score,Recommendation_Helpfulness,Rating_Accuracy,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction,Purchase_Categories_List
2023-06-07 23:06:40,59,Other,Once a week,Beauty and Personal Care,Yes,Few times a month,Other,Multiple pages,4,Yes,Rarely,Other,Always,Yes,Rarely,No,1,Yes,3,3,Customer service,User interface of app,433348,['Beauty and Personal Care']
2023-06-06 19:08:47,48,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Rarely,Category Browsing,Multiple pages,1,Maybe,Often,Changed my mind or no longer need the item,Always,No,Never,Sometimes,1,No,5,2,Not specified,Not specified,735054,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']"
2023-06-08 21:39:30,57,Prefer not to say,Multiple times a week,Groceries and Gourmet Food,Sometimes,Rarely,Keyword Search,First page,2,Yes,Never,Changed my mind or no longer need the item,Sometimes,Yes,Rarely,No,5,Sometimes,3,3,Customer service,Product quality and accuracy,119350,['Groceries and Gourmet Food']
2023-06-07 21:22:24,30,Other,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Other,Multiple pages,2,Maybe,Sometimes,Changed my mind or no longer need the item,Never,Yes,Rarely,Sometimes,4,Sometimes,4,5,Customer service,Not specified,180686,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion']"
2023-06-06 19:21:26,51,Female,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,Filter,First page,5,No,Never,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,Sometimes,1,Yes,3,1,Not specified,I don't have any problem with Amazon,538184,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']"
2023-06-04 23:27:53,33,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a month,Category Browsing,Multiple pages,3,No,Often,Other,Rarely,Yes,Occasionally,Sometimes,5,Sometimes,4,4,Customer service,Customer service responsiveness,116480,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen', 'Other']"
2023-06-06 19:40:53,10,Male,Once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,Not specified,Multiple pages,5,Maybe,Rarely,Found a better price elsewhere,Always,No,Rarely,Sometimes,1,Yes,3,2,Wide product selection,Nil,445746,"['Groceries and Gourmet Food', 'Clothing and Fashion', 'Home and Kitchen']"
2023-06-06 17:16:58,30,Male,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;others,No,Few times a month,Category Browsing,First page,2,Yes,Always,Other,Always,No,Occasionally,Sometimes,1,Sometimes,5,2,Wide product selection,No problems with Amazon,372797,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Other']"
2023-06-08 21:39:55,8,Female,Once a month,Clothing and Fashion,Sometimes,Few times a week,Filter,First page,3,Yes,Rarely,High shipping costs,Rarely,No,Never,Yes,5,Sometimes,1,2,All the above,No problems with Amazon,571022,['Clothing and Fashion']
2023-06-11 23:10:14,11,Female,Once a week,Clothing and Fashion,Yes,Few times a month,Category Browsing,Multiple pages,3,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,Heavily,No,3,No,2,3,Customer service,Irrelevant product suggestions,952835,['Clothing and Fashion']
2023-06-07 22:10:58,28,Other,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Multiple times a day,Keyword Search,First page,5,Yes,Often,Found a better price elsewhere,Often,Yes,Rarely,Sometimes,5,Sometimes,4,4,Customer service,Customer service responsiveness,797322,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen', 'Other']"
2023-06-09 09:35:57,15,Other,Once a month,Clothing and Fashion;Home and Kitchen,Yes,Few times a month,Not specified,First page,3,Maybe,Often,Found a better price elsewhere,Sometimes,No,Never,No,4,Yes,5,3,User-friendly website/app interface,better app interface and lower shipping charges,252740,"['Clothing and Fashion', 'Home and Kitchen']"
2023-06-09 09:33:35,7,Other,Multiple times a week,others,Sometimes,Multiple times a day,Not specified,First page,3,Yes,Often,Changed my mind or no longer need the item,Rarely,Yes,Rarely,Sometimes,5,Yes,5,5,Quick delivery,Shipping speed and reliability,785442,['Other']
2023-06-08 17:15:27,48,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Yes,Few times a week,Other,First page,5,Maybe,Often,Found a better price elsewhere,Sometimes,Yes,Heavily,Sometimes,3,Sometimes,5,5,Competitive prices,Nothing,769031,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion']"
2023-06-09 08:10:05,15,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a week,Category Browsing,First page,4,Yes,Often,Other,Never,Yes,Never,Sometimes,3,No,4,5,Customer service,I have no problem with Amazon yet. But others tell me about the refund issues,397056,"['Beauty and Personal Care', 'Clothing and Fashion']"
2023-06-07 11:41:56,58,Male,Once a week,Groceries and Gourmet Food;Clothing and Fashion;others,No,Rarely,Category Browsing,Multiple pages,4,Yes,Always,Changed my mind or no longer need the item,Always,Yes,Rarely,Sometimes,3,No,4,2,Product recommendations,Shipping speed and reliability,757928,"['Groceries and Gourmet Food', 'Clothing and Fashion', 'Other']"
2023-06-08 17:27:22,31,Female,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,Not specified,Multiple pages,1,No,Rarely,Other,Sometimes,Yes,Never,Yes,3,Sometimes,4,4,Competitive prices,Not specified,542620,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']"
2023-06-04 20:00:11,60,Other,Once a week,Clothing and Fashion;Home and Kitchen;others,No,Few times a week,Other,First page,4,Yes,Sometimes,Found a better price elsewhere,Often,No,Never,No,4,Sometimes,3,4,Customer service,I have no problem with Amazon yet. But others tell me about the refund issues,701440,"['Clothing and Fashion', 'Home and Kitchen', 'Other']"
2023-06-09 14:51:07,51,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a month,Keyword Search,First page,5,Yes,Rarely,High shipping costs,Always,Yes,Rarely,No,1,Sometimes,3,3,Quick delivery,I don't have any problem with Amazon,119213,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen', 'Other']"
2023-06-08 17:35:01,56,Male,Multiple times a week,Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a week,Keyword Search,Multiple pages,3,No,Often,Found a better price elsewhere,Always,No,Moderately,No,3,Sometimes,3,3,Not specified,No problems with Amazon,774345,"['Clothing and Fashion', 'Home and Kitchen', 'Other']"
2023-06-08 03:23:58,28,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,Category Browsing,First page,3,Yes,Rarely,Found a better price elsewhere,Rarely,No,Rarely,Yes,1,No,2,4,All the above,Customer service responsiveness,133335,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']"
2023-06-06 20:56:17,10,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a week,Other,Multiple pages,5,No,Sometimes,Found a better price elsewhere,Rarely,No,Never,Sometimes,2,Sometimes,5,2,Customer service,Shipping speed and reliability,886529,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen', 'Other']"
2023-06-11 23:15:03,11,Female,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Rarely,Other,Multiple pages,5,No,Always,Other,Never,Yes,Moderately,No,5,No,4,4,Not specified,I don't have any problem with Amazon,362553,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']"
2023-06-06 18:38:45,44,Female,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Multiple times a day,Keyword Search,First page,2,No,Never,High shipping costs,Sometimes,Yes,Never,No,3,Yes,2,4,Competitive prices,Nil,371416,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']"
2023-06-09 10:23:05,54,Male,Few times a month,Home and Kitchen;others,Yes,Few times a month,Keyword Search,First page,1,Maybe,Always,High shipping costs,Sometimes,Yes,Moderately,No,2,Sometimes,4,4,Not specified,Not specified,738929,"['Home and Kitchen', 'Other']"
2023-06-11 23:20:18,40,Other,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Filter,Multiple pages,4,Yes,Always,High shipping costs,Sometimes,No,Heavily,No,4,Yes,3,2,Quick delivery,Shipping speed and reliability,608249,"['Beauty and Personal Care', 'Clothing and Fashion']"
2023-06-10 14:41:51,52,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a week,Other,First page,2,No,Always,Found a better price elsewhere,Always,Yes,Heavily,Sometimes,5,Sometimes,2,5,Wide product selection,better app interface and lower shipping charges,749594,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen', 'Other']"
2023-06-04 22:37:00,13,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,Other,First page,5,No,Rarely,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,No,1,No,3,2,Customer service,Not specified,613645,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']"
